,reg,eta,iterations,C,solver,train_accuracy,test_accuracy,run_time
0,0,1,10,1,BFGS,0.696979175,0.709349887,7.562769413
1,0,1,10,1,SA,0.54998015,0.55141716,2.309733629
2,0,1,10,0.1,BFGS,0.696979175,0.709349887,7.702536345
3,0,1,10,0.1,SA,0.54998015,0.55141716,2.308688879
4,0,1,10,0.01,BFGS,0.696979175,0.709349887,8.102914095
5,0,1,10,0.01,SA,0.54998015,0.55141716,2.396989584
6,0,1,10,0.001,BFGS,0.696979175,0.709349887,6.205709457
7,0,1,10,0.001,SA,0.54998015,0.55141716,2.306632042
8,0,1,10,0.0001,BFGS,0.696979175,0.709349887,8.498580456
9,0,1,10,0.0001,SA,0.54998015,0.55141716,2.593504429
10,0,1,20,1,BFGS,0.752619612,0.758481305,12.29440069
11,0,1,20,1,SA,0.451836435,0.454309225,4.40977335
12,0,1,20,0.1,BFGS,0.752619612,0.758481305,11.70578909
13,0,1,20,0.1,SA,0.451836435,0.454309225,3.998452663
14,0,1,20,0.01,BFGS,0.752619612,0.758481305,12.50500178
15,0,1,20,0.01,SA,0.451836435,0.454309225,3.809660673
16,0,1,20,0.001,BFGS,0.752619612,0.758481305,11.70152831
17,0,1,20,0.001,SA,0.451836435,0.454309225,4.698544025
18,0,1,20,0.0001,BFGS,0.752619612,0.758481305,10.8109715
19,0,1,20,0.0001,SA,0.451836435,0.454309225,4.012640953
20,0,1,50,1,BFGS,0.779375143,0.785044031,21.38581371
21,0,1,50,1,SA,0.467536061,0.470910928,10.4950521
22,0,1,50,0.1,BFGS,0.779375143,0.785044031,22.8052516
23,0,1,50,0.1,SA,0.467536061,0.470910928,10.79690814
24,0,1,50,0.01,BFGS,0.779375143,0.785044031,22.4944241
25,0,1,50,0.01,SA,0.467536061,0.470910928,9.703318357
26,0,1,50,0.001,BFGS,0.779375143,0.785044031,22.40403438
27,0,1,50,0.001,SA,0.467536061,0.470910928,9.489623308
28,0,1,50,0.0001,BFGS,0.779375143,0.785044031,22.49574852
29,0,1,50,0.0001,SA,0.467536061,0.470910928,10.10010171
30,0,0.1,10,1,BFGS,0.696979175,0.709349887,7.605716467
31,0,0.1,10,1,SA,0.449466453,0.451566335,2.384853125
32,0,0.1,10,0.1,BFGS,0.696979175,0.709349887,8.194439173
33,0,0.1,10,0.1,SA,0.449466453,0.451566335,1.799229383
34,0,0.1,10,0.01,BFGS,0.696979175,0.709349887,8.608062506
35,0,0.1,10,0.01,SA,0.449466453,0.451566335,2.503715515
36,0,0.1,10,0.001,BFGS,0.696979175,0.709349887,8.305593967
37,0,0.1,10,0.001,SA,0.449466453,0.451566335,2.296171188
38,0,0.1,10,0.0001,BFGS,0.696979175,0.709349887,8.593168259
39,0,0.1,10,0.0001,SA,0.449466453,0.451566335,2.402014017
40,0,0.1,20,1,BFGS,0.752619612,0.758481305,12.0982008
41,0,0.1,20,1,SA,0.449719091,0.451758818,4.209082603
42,0,0.1,20,0.1,BFGS,0.752619612,0.758481305,12.50627947
43,0,0.1,20,0.1,SA,0.449719091,0.451758818,4.201375008
44,0,0.1,20,0.01,BFGS,0.752619612,0.758481305,11.91110802
45,0,0.1,20,0.01,SA,0.449719091,0.451758818,4.195818663
46,0,0.1,20,0.001,BFGS,0.752619612,0.758481305,12.3979528
47,0,0.1,20,0.001,SA,0.449719091,0.451758818,4.004079819
48,0,0.1,20,0.0001,BFGS,0.752619612,0.758481305,12.29954195
49,0,0.1,20,0.0001,SA,0.449719091,0.451758818,3.89571023
50,0,0.1,50,1,BFGS,0.779375143,0.785044031,22.89184523
