,reg,eta,iterations,C,solver,train_accuracy,test_accuracy,run_time
0,0,1,10,1,BFGS,0.478219025,0.476156104,2.281956911
1,0,1,10,1,SA,0.478351359,0.476252346,2.700734615
2,0,1,10,0.1,BFGS,0.478219025,0.476156104,2.604459524
3,0,1,10,0.1,SA,0.478351359,0.476252346,2.603769779
4,0,1,10,0.01,BFGS,0.478219025,0.476156104,2.198825598
5,0,1,10,0.01,SA,0.478351359,0.476252346,2.694583416
6,0,1,10,0.001,BFGS,0.478219025,0.476156104,2.301853418
7,0,1,10,0.001,SA,0.478351359,0.476252346,2.896606207
8,0,1,10,0.0001,BFGS,0.478219025,0.476156104,2.710800886
9,0,1,10,0.0001,SA,0.478351359,0.476252346,2.903755903
10,0,1,20,1,BFGS,0.478219025,0.476156104,2.306231737
11,0,1,20,1,SA,0.478435571,0.476444829,5.10000658
12,0,1,20,0.1,BFGS,0.478219025,0.476156104,2.594973564
13,0,1,20,0.1,SA,0.478435571,0.476444829,5.89602685
14,0,1,20,0.01,BFGS,0.478219025,0.476156104,2.706085443
15,0,1,20,0.01,SA,0.478435571,0.476444829,5.506461382
16,0,1,20,0.001,BFGS,0.478219025,0.476156104,3.097510576
17,0,1,20,0.001,SA,0.478435571,0.476444829,5.299844027
18,0,1,20,0.0001,BFGS,0.478219025,0.476156104,2.604573965
19,0,1,20,0.0001,SA,0.478435571,0.476444829,5.191006184
20,0,1,50,1,BFGS,0.478219025,0.476156104,2.205004692
21,0,1,50,1,SA,0.478423541,0.476444829,13.20385051
22,0,1,50,0.1,BFGS,0.478219025,0.476156104,2.793884754
23,0,1,50,0.1,SA,0.478423541,0.476444829,11.59848785
24,0,1,50,0.01,BFGS,0.478219025,0.476156104,2.401679516
25,0,1,50,0.01,SA,0.478423541,0.476444829,11.49267125
26,0,1,50,0.001,BFGS,0.478219025,0.476156104,2.797371626
27,0,1,50,0.001,SA,0.478423541,0.476444829,11.89683819
28,0,1,50,0.0001,BFGS,0.478219025,0.476156104,2.793617964
29,0,1,50,0.0001,SA,0.478423541,0.476444829,11.39963055
30,0,0.1,10,1,BFGS,0.478219025,0.476156104,2.68345952
31,0,0.1,10,1,SA,0.47837542,0.475193687,2.107880354
32,0,0.1,10,0.1,BFGS,0.478219025,0.476156104,2.593317509
33,0,0.1,10,0.1,SA,0.47837542,0.475193687,2.707306623
34,0,0.1,10,0.01,BFGS,0.478219025,0.476156104,2.800638914
35,0,0.1,10,0.01,SA,0.47837542,0.475193687,2.59811306
36,0,0.1,10,0.001,BFGS,0.478219025,0.476156104,2.789377451
37,0,0.1,10,0.001,SA,0.47837542,0.475193687,2.700803757
38,0,0.1,10,0.0001,BFGS,0.478219025,0.476156104,2.298610687
39,0,0.1,10,0.0001,SA,0.47837542,0.475193687,2.896434307
40,0,0.1,20,1,BFGS,0.478219025,0.476156104,2.794306278
41,0,0.1,20,1,SA,0.478796482,0.476781676,4.792089224
42,0,0.1,20,0.1,BFGS,0.478219025,0.476156104,2.593005896
43,0,0.1,20,0.1,SA,0.478796482,0.476781676,4.391076565
44,0,0.1,20,0.01,BFGS,0.478219025,0.476156104,1.996793747
45,0,0.1,20,0.01,SA,0.478796482,0.476781676,4.799623728
46,0,0.1,20,0.001,BFGS,0.478219025,0.476156104,2.504074574
47,0,0.1,20,0.001,SA,0.478796482,0.476781676,5.206703186
48,0,0.1,20,0.0001,BFGS,0.478219025,0.476156104,2.500101805
49,0,0.1,20,0.0001,SA,0.478796482,0.476781676,4.590634584
50,0,0.1,50,1,BFGS,0.478219025,0.476156104,2.798533201
51,0,0.1,50,1,SA,0.478363389,0.476107983,12.29198337
52,0,0.1,50,0.1,BFGS,0.478219025,0.476156104,2.597519159
53,0,0.1,50,0.1,SA,0.478363389,0.476107983,11.91162324
54,0,0.1,50,0.01,BFGS,0.478219025,0.476156104,2.699342012
55,0,0.1,50,0.01,SA,0.478363389,0.476107983,11.7992425
56,0,0.1,50,0.001,BFGS,0.478219025,0.476156104,3.003008604
57,0,0.1,50,0.001,SA,0.478363389,0.476107983,12.60291481
58,0,0.1,50,0.0001,BFGS,0.478219025,0.476156104,2.692577839
59,0,0.1,50,0.0001,SA,0.478363389,0.476107983,11.89388227
60,0,0.01,10,1,BFGS,0.478219025,0.476156104,2.596402645
61,0,0.01,10,1,SA,0.476306197,0.472595159,2.808417082
62,0,0.01,10,0.1,BFGS,0.478219025,0.476156104,2.704608917
63,0,0.01,10,0.1,SA,0.476306197,0.472595159,2.40415287
64,0,0.01,10,0.01,BFGS,0.478219025,0.476156104,2.700424194
65,0,0.01,10,0.01,SA,0.476306197,0.472595159,2.593655825
66,0,0.01,10,0.001,BFGS,0.478219025,0.476156104,2.392578125
67,0,0.01,10,0.001,SA,0.476306197,0.472595159,2.601936102
68,0,0.01,10,0.0001,BFGS,0.478219025,0.476156104,2.506187201
69,0,0.01,10,0.0001,SA,0.476306197,0.472595159,2.600106239
70,0,0.01,20,1,BFGS,0.478219025,0.476156104,2.595774889
71,0,0.01,20,1,SA,0.476895685,0.473124489,5.093549967
72,0,0.01,20,0.1,BFGS,0.478219025,0.476156104,2.801771164
73,0,0.01,20,0.1,SA,0.476895685,0.473124489,5.208142042
74,0,0.01,20,0.01,BFGS,0.478219025,0.476156104,2.49847126
75,0,0.01,20,0.01,SA,0.476895685,0.473124489,5.197209597
76,0,0.01,20,0.001,BFGS,0.478219025,0.476156104,2.689315319
77,0,0.01,20,0.001,SA,0.476895685,0.473124489,4.9979949
78,0,0.01,20,0.0001,BFGS,0.478219025,0.476156104,2.600570679
79,0,0.01,20,0.0001,SA,0.476895685,0.473124489,4.903393745
80,0,0.01,50,1,BFGS,0.478219025,0.476156104,2.712456465
81,0,0.01,50,1,SA,0.477220505,0.47485684,12.39931512
82,0,0.01,50,0.1,BFGS,0.478219025,0.476156104,2.491817713
83,0,0.01,50,0.1,SA,0.477220505,0.47485684,10.30198812
84,0,0.01,50,0.01,BFGS,0.478219025,0.476156104,2.601676941
85,0,0.01,50,0.01,SA,0.477220505,0.47485684,12.2944293
86,0,0.01,50,0.001,BFGS,0.478219025,0.476156104,2.706192493
87,0,0.01,50,0.001,SA,0.477220505,0.47485684,12.38970494
88,0,0.01,50,0.0001,BFGS,0.478219025,0.476156104,2.196930885
89,0,0.01,50,0.0001,SA,0.477220505,0.47485684,12.59742832
90,0,0.001,10,1,BFGS,0.478219025,0.476156104,2.304131746
91,0,0.001,10,1,SA,0.476246045,0.472258313,2.196899414
92,0,0.001,10,0.1,BFGS,0.478219025,0.476156104,2.805588007
93,0,0.001,10,0.1,SA,0.476246045,0.472258313,2.308064461
94,0,0.001,10,0.01,BFGS,0.478219025,0.476156104,2.403034449
95,0,0.001,10,0.01,SA,0.476246045,0.472258313,2.697275162
96,0,0.001,10,0.001,BFGS,0.478219025,0.476156104,2.802280664
97,0,0.001,10,0.001,SA,0.476246045,0.472258313,2.884610176
98,0,0.001,10,0.0001,BFGS,0.478219025,0.476156104,2.395497322
99,0,0.001,10,0.0001,SA,0.476246045,0.472258313,2.700060368
100,0,0.001,20,1,BFGS,0.478219025,0.476156104,2.805123568
101,0,0.001,20,1,SA,0.476173863,0.472258313,4.593086958
102,0,0.001,20,0.1,BFGS,0.478219025,0.476156104,2.103820324
103,0,0.001,20,0.1,SA,0.476173863,0.472258313,4.794194698
104,0,0.001,20,0.01,BFGS,0.478219025,0.476156104,2.988052368
105,0,0.001,20,0.01,SA,0.476173863,0.472258313,4.894438505
106,0,0.001,20,0.001,BFGS,0.478219025,0.476156104,2.697606802
107,0,0.001,20,0.001,SA,0.476173863,0.472258313,4.395077944
108,0,0.001,20,0.0001,BFGS,0.478219025,0.476156104,2.605629206
109,0,0.001,20,0.0001,SA,0.476173863,0.472258313,4.897195339
110,0,0.001,50,1,BFGS,0.478219025,0.476156104,2.692124605
111,0,0.001,50,1,SA,0.475981377,0.472210192,9.309688568
112,0,0.001,50,0.1,BFGS,0.478219025,0.476156104,2.492246151
113,0,0.001,50,0.1,SA,0.475981377,0.472210192,11.89709711
114,0,0.001,50,0.01,BFGS,0.478219025,0.476156104,2.600726604
115,0,0.001,50,0.01,SA,0.475981377,0.472210192,10.90229893
116,0,0.001,50,0.001,BFGS,0.478219025,0.476156104,2.996090174
117,0,0.001,50,0.001,SA,0.475981377,0.472210192,12.30144978
118,0,0.001,50,0.0001,BFGS,0.478219025,0.476156104,2.704918623
119,0,0.001,50,0.0001,SA,0.475981377,0.472210192,11.60757375
120,0,0.0001,10,1,BFGS,0.478219025,0.476156104,2.599800825
